City;Inf_Clothing;Inf_Footwear;Inf_Eduaction_Services;Inf_Basic_Education;Inf_Middle_Education;Inf_Higher_Education;Inf_Household;Inf_Furnitures_Equipment;Inf_Household_Textiles;Inf_Household_Tools;Inf_Tableware;Inf_Housing_Equipment;Inf_Household_Services;Inf_Health;Inf_Health_Medicines_Products;Inf_Outpatient_Services;Inf_Inpatient_Services;Inf_Water_Electricity_Household;Inf_House_Rent;Inf_House_Maintenance;Inf_Water_Supply;Inf_Electricity_Supply;Inf_Financial_Services;Inf_Communication_Equipment;Inf_Communication_Services;Inf_Personal_Care;Inf_Food_Baverages_Services;Inf_Recreation_Sports_Culture;Inf_School_Supplies;Inf_recreation_Sport_Servoces;Inf_Transportation;Inf_Vehicle_Purchase;Inf_Personal_Transportation;Inf_Passenger_Transportation;Inf_Freight_Forwading_Services
KAB ACEH TENGAH;4.534;4.104;0.133;0.357;0;0;2.216;7.869;4.693;2.358;6.111;7.456;1.155;3.491;5.269;0.135;2.373;1.138;0.941;1.377;0;2.802;1.797;7.107;0;1.932;3.483;6.781;3.976;0;0.23;0.533;0.249;0.256;0
MEULABOH;2.411;1.266;1.182;2.186;0;0;2.368;1.655;0.51;3.35;7.195;2.442;1.647;3.782;5.667;0;0.532;0.806;2.654;0.717;2.11;0.411;0.449;1.549;0.016;9.002;3.012;0.773;1.728;0;1.031;2.215;0.545;3.186;1.206
KAB ACEH TAMIANG;2.373;3.073;3.061;8.125;0.214;2.343;0.581;1.826;3.473;3.806;3.492;0.496;0.766;2.622;1.799;4.274;0;0.834;0.968;3.114;0;0.414;0.247;1.433;0;0.976;2.231;6.01;3.267;0;0.337;1.982;0.223;0;0
KOTA BANDA ACEH;2.808;0.544;0.416;1.734;0;0;0.61;2.365;0.718;1.185;4.821;0.102;0.334;1.757;1.862;1.778;0;2.986;0.233;1.614;24.942;0.862;0.409;1.36;0.126;6.203;3.358;0.502;1.1;0;0.673;0.934;0.703;5.156;1.095
KOTA LHOKSEUMAWE;1.576;7.925;2.262;4.693;2.428;0;2.453;1.772;1.33;1.106;11.311;0.712;3.043;1.959;3.042;2.745;0;0.638;1.384;2.07;0;0.175;1.398;9.107;0.094;2.471;1.205;4.459;4.375;12.5;1.299;2.8;1.045;2.21;0
KAB LABUHANBATU;5.792;2.603;0.3;1.14;0;0;2.423;1.438;2.878;5.235;5.985;0.132;1.448;2.234;3.423;0.884;0;1.409;0;2.628;0.874;2.361;0.314;1.043;0;4.386;3.954;2.409;3.283;0;1.175;1.857;0.875;6.116;0.454
KAB KARO;4.917;7.114;0;0;0;0;1.025;4.027;7.668;1.683;6.375;3.218;0.947;1.238;2.38;0.583;0.82;1.463;2.422;1.967;1.08;2.18;0.928;3.288;0;7.477;3.155;5.77;7.31;5.167;1.009;0.999;1.17;0.306;0.282
KAB DELI SERDANG;3.31;0.7;0.261;0.789;0;0;0.425;1.971;0;1.821;0;3.85;1.23;0.836;0.999;0.68;0;0.521;0.675;4.211;0.497;0.226;0.278;0.648;0;1.976;0.718;1.056;2.082;0;0.104;0.814;0.281;0.729;0
KOTA SIBOLGA;2.598;2.523;3.121;3.988;3.62;6.593;2.973;1.934;1.907;0.862;1.515;1.404;4.532;5.773;3.991;2.853;14.472;0.574;0.895;1.321;0.81;0.34;0.19;0.906;0.05;4.05;0.7;1.58;1.257;0;0.358;0.628;0.345;1.04;0
KOTA PEMATANGSIANTAR;0.457;1.535;5.387;4.133;2.206;10.122;1.944;8.515;7.513;8.295;1.312;4.37;2.122;4.335;4.177;5.93;0;0.355;0.88;0.449;0;0.125;0.519;1.701;0.128;4.586;2.213;2.35;5.892;0;1.761;3.069;2.425;1.4;0
KOTA MEDAN;1.242;1.486;1.685;0.896;0.691;4.832;0.644;0.429;0;0.17;0;1.211;1.011;1.316;1.752;0.224;0;0.813;1.241;1.637;0;0.395;0.063;0.005;0.112;5.378;1.591;0.923;0.881;0;0.889;1.325;0.57;2.62;0
KOTA PADANGSIDIMPUAN;2.77;1.716;1.712;0.146;5.111;0;0.84;2.049;2.28;5.645;3.718;4.91;1.608;2.434;5.241;0.592;1.556;0.425;0.634;0.664;0.204;0.967;0.287;1.066;0.084;8.041;1.178;3.866;0.282;0;0.693;1.549;0.384;1.197;4.359
KOTA GUNUNGSITOLI;1.687;2.07;3.419;5.12;3.333;3.547;0.448;0.512;2.442;1.537;8.75;2.013;1.954;0.924;0.365;3.756;0;0.47;0.548;2.254;0;0.829;0.889;3.851;0;5.622;4.573;6.419;0.66;0;5.396;0.676;1.246;21.947;6.476
KAB DHARMASRAYA;3.318;0.449;0.812;3.446;0.16;0;1.144;0;7.522;0.681;2.741;0.016;0.33;0.942;0.321;2.041;0;0.731;0.52;3.461;0;0.002;0.57;2.736;0;4.989;3.152;1.047;0.338;0;0.937;5.621;0.309;0.758;0.668
KAB PASAMAN BARAT;4.362;4.292;0.366;0.67;0.018;0.582;0.553;0.659;1.199;1.076;1.679;1.412;0.8;3.759;3.804;5.435;0;0.326;0.29;2.224;0;0.134;0.225;1.356;0;2.148;1.429;5.207;2.294;20;0.489;1.139;0.191;4.38;2.928
